# ----------化学式	----------
水	💦 H₂O
一氧化二氢	H₂O
酒精	C₂H₆O
乙醇	C₂H₆O
锰酸钾	K₂MnO₄
高锰酸钾	KMnO₄
石灰石	CaCO₃
石灰水	Ca(OH)₂
胆矾	CuSO₄·5H₂O
二氧化氢	H₂O₂
纯碱	Na₂CO₃
熟石灰	Ca(OH)₂
氨水	NH₃·H₂O
磷酸	H₃PO₄
葡萄糖	C₆H₁₂O₆
硫化钠	Na₂S
绿矾	FeSO₄·7H₂O
氯酸钾	KClO₃
明矾	KAl(SO₄)₂·12H₂O
硝酸铵	NH₄NO₃
氧化铁	Fe₂O₃
铜绿	Cu₂(OH)₂CO₃
硫酸铜	CuSO₄
烧碱	NaOH
蔗糖	C₁₂H₂₂O₁₁
氧化铝	Al₂O₃
干冰	CO₂
硫酸钠	Na₂SO₄
亚硝酸钠	NaNO₂
纤维素	(C₆H₁₀O₅)n
铁粉	Fe
三聚氰胺	C₃H₆N₆
丁烷	CH₃CH₂CH₂CH₃
食醋	CH₃COOH
醋酸	CH₃COOH
孔雀石	Cu₂(OH)₂CO₃
草木灰	K₂CO₃
丙烷	C₃H₈
一氧化碳	CO
二氧化碳	CO₂
五氧化二磷	P₂O₅
氧化钠	Na₂O
二氧化氮	NO₂
二氧化硅	SiO₂
二氧化硫	SO₂
三氧化硫	SO₃
一氧化氮	NO
氧化镁	MgO
氧化铜	CuO
氧化钡	BaO
氧化亚铜	Cu₂O
氧化亚铁	FeO
三氧化二铁	Fe₂O₃
四氧化三铁	Fe₃O₄
三氧化二铝	Al₂O₃
三氧化钨	WO₃
氧化银	Ag₂O
氧化铅	PbO
二氧化锰	MnO₂
氯化钾	KCl
氯化钠	NaCl
氯化镁	MgCl₂
氯化钙	CaCl₂
氯化铜	CuCl₂
氯化锌	ZnCl₂
氯化钡	BaCl₂
氯化铝	AlCl₃
氯化亚铁	FeCl₂
氯化铁	FeCl₃
氯化银	AgCl
硫酸	H₂SO₄
盐酸	HCl
硝酸	HNO₃
碳酸	H₂CO₃
亚硫酸	H₂SO₃
硫化氢	H₂S
溴化氢	HBr
硫酸钡	BaSO₄
硫酸钙	CaSO₄
硫酸钾	K₂SO₄
硫酸镁	MgSO₄
硫酸亚铁	FeSO₄
硫酸铁	Fe₂(SO₄)₃
硫酸铝	Al₂(SO₄)₃
硫酸氢钠	NaHSO₄
硫酸氢钾	KHSO₄
亚硫酸钠	NaSO₃
硝酸钠	NaNO₃
硝酸钾	KNO₃
硝酸银	AgNO₃
硝酸镁	Mg(NO₃)₂
硝酸铜	Cu(NO₃)₂
硝酸钙	Ca(NO₃)₂
碳酸钠	Na₂CO₃
碳酸钙	CaCO₃
碳酸镁	MgCO₃
碳酸钾	K₂CO₃
氢氧化钠	NaOH
氢氧化钙	Ca(OH)₂
氢氧化钡	Ba(OH)₂
氢氧化镁	Mg(OH)₂
氢氧化铜	Cu(OH)₂
氢氧化钾	KOH
氢氧化铝	Al(OH)₃
氢氧化铁	Fe(OH)₃
氢氧化亚铁	Fe(OH)₂
甲烷	CH₄
乙炔	C₂H₂
甲醇	CH₃OH
乙酸	CH₃COOH
碱式碳酸铜	Cu₂(OH)₂CO₃
石膏	CaSO₄·2H₂O
熟石膏	2CaSO₄·H₂O
蓝矾	CuSO₄·₅H₂O
碳酸钠晶体	Na₂CO₃·10H₂O
尿素	CO(NH₂)₂
硫酸铵	(NH₄)₂SO₄
碳酸氢铵	NH₄HCO₃
磷酸二氢钾	KH₂PO₄
氯化氢	HCl
氢氧化铵	NH₄OH
磷酸二氢钠	NaH₂PO₄
硝酸锌	Zn(NO₃)₂
过氧化氢	H₂O₂
氧化钾	K₂O
氯化铵	NH₄Cl
硝酸铅	Pb(NO₃)₂
硫化铜	CuS
碳酸氢钠	NaHCO₃
硝酸锂	LiNO₃
氢氧化锂	LiOH
磷酸钙	Ca₃(PO₄)₂
苯环	⌬ ⏣
