# ----------二叠字	----------
两个火	炎 炏
两个土	圭
两个一	二
两个二	亖
两个山	岀 屾
两个口	吕 吅
两个田	畕
两个九	𠃙
两个飞	𠃧
两个戈	戔
两个兀	𠀘
两个𡥦	𡦪
两个巾	𢁝
两个左	𢀡
两个母	𣫯
两个来	𠐇
两个凡	𠘻
两个夕	多 𡖇
两个彐	𢑑
两个𢎘	𢎙
两个明	𣊧
两个朿	棘 棗
两个乂	爻
两个曰	昌
两个尸	𡰲
两个八	𠔁
两个而	𦓔
两个羊	𫅓
两个马	𩥋
两个卅	𢌽
两个巛	𡿭
两个比	𣬅
两个申	𤱓
两个余	𠎳
两个罒	𮊂
两个㐅	𬼆
两个金	鍂
两个木	林
两个水	沝
两个風	䬕
两个石	砳
两个日	昍
两个月	朋
两个目	䀠
两个白	㿟
两个百	皕
两个耳	聑
两个屮	艸
两个廿	𠦜
两个卄	卌
两个虫	䖵
两个魚	䲆 𩺰
两个牛	牪 𤘧
两个虎	虤
两个龍	龖
两个馬	騳
两个犬	㹜
两个人	从 仌
两个入	𠓜
两个习	羽
两个卪	𠨖
两个㔾	𠨎
两个几	𠘬
两个乙	𠃐
两个大	夶 㚐
两个夫	㚘
两个禾	秝
两个干	幵
两个井	㐩
两个斤	斦
两个片	㸞
两个牙	𤘆
两个炎	燚
两个弓	弜
两个永	𣴏
两个亦	𠅯
两个手	𢪒 抙
两个毛	㲎
两个王	玨
两个男	𤲶
两个女	奻 㚣
两个又	双 㕛
两个支	𢺸
两个隻	䨇
两个古	𠳬
两个吉	喆 𡔯
两个舌	𦧚
两个言	誩 𧨟
两个户	𢨯 𢨳
两个启	𢩙
两个來	㯤
两个桼	𣠬
两个旡	兓
两个歹	㱛
两个厶	厸 㕕
两个匕	比
两个幺	𢆶
两个玄	玆
两个心	𢗰
两个力	𠠴
两个欠	𣢐
两个子	孖
两个予	㐨
两个享	㝇
两个立	竝
两个音	䪭
两个竟	竸
两个竞	競
两个兄	㒭
两个見	覞
两个貝	賏
两个辛	辡
两个瓜	㼌
两个呆	槑
两个果	𣛕
两个鸟	𪅝
两个巢	𢀌
两个禺	𥝉
两个巿	𢂏
两个句	𠣪
两个奇	㚡
两个真	㒹
两个尹	𡱉
两个昔	𣊣
两个易	𣊷
两个臣	𦣦 𫇆
两个面	𩈳 𩈲
两个先	兟
两个老	䎜
两个示	祘
两个至	臸
两个生	甡
两个車	䡛
两个足	踀
两个區	𠥺
两个香	𩡐 𩡌
两个隹	雔
两个牟	𤚅
两个豕	豩
两个𠂢	𠃄
两个畐	㽬
两个㣇	㣈
两个邑	䣈
两个堯	㚁
两个秉	𥡝
两个倉	𠑐
两个東	㯥
两个善	𡆃
两个僉	𠑲
两个齒	𪙹
两个喜	囍
两个走	𧼂
两个止	𣥖 𣥕
两个昌	𣊫
两个串	𠁷
两个米	𥹫
两个束	𣗥 𬃷
两个隶	𨽼
两个不	𫠭
两个龙	𱍂
两个乞	𬼠
两个夋	𭐪
两个天	𭑈
# ----------二叠字2	----------
火火	炎 炏
土土	圭
一一	二
二二	亖
山山	岀 屾
口口	吕 吅
田田	畕
九九	𠃙
飞飞	𠃧
戈戈	戔
兀兀	𠀘
𡥦𡥦	𡦪
巾巾	𢁝
左左	𢀡
母母	𣫯
来来	𠐇
凡凡	𠘻
夕夕	多 𡖇
彐彐	𢑑
𢎘𢎘	𢎙
明明	𣊧
朿朿	棘 棗
乂乂	爻
曰曰	昌
尸尸	𡰲
八八	𠔁
而而	𦓔
羊羊	𫅓
马马	𩥋
卅卅	𢌽
巛巛	𡿭
比比	𣬅
申申	𤱓
余余	𠎳
罒罒	𮊂
㐅㐅	𬼆
金金	鍂
木木	林
水水	沝
風風	䬕
石石	砳
日日	昍
月月	朋
目目	䀠
白白	㿟
百百	皕
耳耳	聑
屮屮	艸
廿廿	𠦜
卄卄	卌
虫虫	䖵
魚魚	䲆 𩺰
牛牛	牪 𤘧
虎虎	虤
龍龍	龖
馬馬	騳
犬犬	㹜
人人	从 仌
入入	𠓜
习习	羽
卪卪	𠨖
㔾㔾	𠨎
几几	𠘬
乙乙	𠃐
大大	夶 㚐
夫夫	㚘
禾禾	秝
干干	幵
井井	㐩
斤斤	斦
片片	㸞
牙牙	𤘆
炎炎	燚
弓弓	弜
永永	𣴏
亦亦	𠅯
手手	𢪒 抙
毛毛	㲎
王王	玨
男男	𤲶
女女	奻 㚣
又又	双 㕛
支支	𢺸
隻隻	䨇
古古	𠳬
吉吉	喆 𡔯
舌舌	𦧚
言言	誩 𧨟
户户	𢨯 𢨳
启启	𢩙
來來	㯤
桼桼	𣠬
旡旡	兓
歹歹	㱛
厶厶	厸 㕕
匕匕	比
幺幺	𢆶
玄玄	玆
心心	𢗰
力力	𠠴
欠欠	𣢐
子子	孖
予予	㐨
享享	㝇
立立	竝
音音	䪭
竟竟	竸
竞竞	競
兄兄	㒭
見見	覞
貝貝	賏
辛辛	辡
瓜瓜	㼌
呆呆	槑
果果	𣛕
鸟鸟	𪅝
巢巢	𢀌
禺禺	𥝉
巿巿	𢂏
句句	𠣪
奇奇	㚡
真真	㒹
尹尹	𡱉
昔昔	𣊣
易易	𣊷
臣臣	𦣦 𫇆
面面	𩈳 𩈲
先先	兟
老老	䎜
示示	祘
至至	臸
生生	甡
車車	䡛
足足	踀
區區	𠥺
香香	𩡐 𩡌
隹隹	雔
牟牟	𤚅
豕豕	豩
𠂢𠂢	𠃄
畐畐	㽬
㣇㣇	㣈
邑邑	䣈
堯堯	㚁
秉秉	𥡝
倉倉	𠑐
東東	㯥
善善	𡆃
僉僉	𠑲
齒齒	𪙹
喜喜	囍
走走	𧼂
止止	𣥖 𣥕
昌昌	𣊫
串串	𠁷
米米	𥹫
束束	𣗥 𬃷
隶隶	𨽼
不不	𫠭
龙龙	𱍂
乞乞	𬼠
夋夋	𭐪
天天	𭑈
# ----------三叠字	----------
三个生	㽓
三个秦	䆐
三个若	䖃
三个雲	䨺
三个人	众 㐺
三个刀	刕
三个十	卉 𠦄
三个力	劦
三个原	厵
三个厶	厽
三个又	叒
三个口	品 𠱠
三个七	㐂
三个吉	嚞 𡕇
三个土	垚
三个士	壵
三个女	姦
三个子	孨 𡥦
三个小	尛 𡭯
三个心	惢
三个手	掱
三个日	晶 晿
三个木	森 𣓏
三个止	歮
三个毛	毳
三个水	淼 㴇
三个泉	灥
三个火	焱 㷋
三个牛	犇
三个犬	猋
三个田	畾
三个白	皛
三个目	瞐
三个直	矗
三个石	磊
三个羊	羴
三个耳	聶
三个舌	舙 𦧵
三个屮	芔
三个虫	蟲
三个言	譶 𧭛
三个贝	赑
三个車	轟
三个金	鑫
三个隹	雥 雦
三个雷	靐
三个風	飍
三个飛	飝
三个香	馫
三个马	骉 𩧢
三个魚	鱻
三个鹿	麤
三个龍	龘
三个个	𠁭
三个丶	𠁼
三个了	𠄕
三个介	𠌕
三个企	𠐰
三个舍	𠑰
三个圥	𠒶
三个光	𠓉
三个兔	𠓗
三个全	𠓾
三个𠙽	𠚛
三个𠧪	𠨋
三个㔾	𠨕
三个厡	𠫒
三个可	𠾳
三个因	𡈲
三个夏	𡖃
三个大	𡘙
三个天	𡙎
三个太	𡙒
三个𦉼	𡚤
三个宝	𡬏
三个宜	𡬐
三个客	𡬚
三个寒	𡬜
三个少	𡮏
三个山	𡷈
三个市	𢅈
三个文	𣁕
三个斗	𣁾
三个朿	𣝯
三个束	𣠆
三个林	𣡕
三个果	𣡗
三个欠	𣣓
