# ----------偏旁部首	----------
厂部	⺁
偏厂	厂
偏厂儿	厂
反字框	⺁
匚部	匚
区字框	匚
三框	匚
三框儿	匚
刀部	刂
立刀旁	刂
立刀	刂
冂部	冂 ⺆
同字框	冂 ⺆
单人旁	亻
人字旁	亻
单立人	亻
斜刀头	⺈
负字头	⺈
包字头	勹
风字头	𠘨
凤字框	𠘨
几字头	𠘨
几字底	𠘨
亠部	亠
京字头	亠
冫部	冫
两点水	冫
冰字旁	冫
八部	丷
倒八	丷
兰字头	丷
八字头	丷
八字底	丷
倒八字	丷
冖部	冖
秃宝盖	冖
言部	讠 訁
言字旁	讠 訁
凶字框	凵
凵部	凵
卩部	卩
耳刀旁	卩 阝
单耳旁	卩
单耳刀	卩
单耳朵	卩
邑部	阝
阜部	阝
双耳旁	阝
双耳刀	阝
左耳刀	阝
右耳刀	阝
厶部	厶
私字旁	厶
廴部	廴
建之旁	廴
㔾部	㔾
仓字底	㔾
土部	土
提土旁	土
手部	扌
提手旁	扌
艸部	艹
草头	艹
草字头	艹
廾部	廾
弄字底	廾
尢部	尢
尤字旁	尢
国字框	囗
大口框	囗
方框	囗
双人旁	彳
双立人	彳
彳部	彳
彡部	彡
三撇	彡
三撇儿	彡
犬部	犭
反犬旁	犭
夂部	夂
折文	夂
折文儿	夂
折文旁	夂
冬字头	夂
食部	饣
食字旁	饣
爿部	丬 爿
将字旁	丬 爿
水部	氵
三点水	氵
心部	忄
竖心	忄
竖心旁	忄
宀部	宀
宝盖	宀
宝盖儿	宀
宝盖头	宀
宝盖儿头	宀
辵部	辶
走之	辶
走之旁	辶
彐部	彐
雪字底	彐
横山	彐
子部	孑
子字旁	孑
糸部	纟 糹 糸
绞丝	纟 糹 糸
绞丝儿	纟 糹 糸
绞丝旁	纟 糹 糸
绞丝儿旁	纟 糹 糸
乱绞丝	纟 糹 糸
乱绞丝儿	纟 糹 糸
绞丝底	纟 糹 糸
幼字旁	幺
巛部	巛
三拐	巛
三拐儿	巛
玉部	王
斜玉旁	王
老字头	耂
牛字旁	牜 ⺧
反文	攵
反文旁	攵
爪字头	爫
四点底	灬
四点水	灬
示字旁	礻
示补	礻
示补儿	礻
春字头	春
四字头	罒
扁四头	罒
金字旁	钅
病字头	疒
病字旁	疒
病旁	疒
衣字旁	衤
衣补	衤
衣补儿	衤
登字头	癶
西字头	覀
虎字头	虍
竹字头	⺮
羊字旁	⺶ ⺷
羊字头	⺷ ⺶
卷字头	龹
足字旁	⻊
髦字头	髟
石字头	丆
左右结构	⿰
上下结构	⿱
左中右结构	⿲
上中下结构	⿳
全包围结构	⿴
半包围结构	⿵ ⿶ ⿷ ⿼ ⿸ ⿹ ⿺ ⿽
