# ----------格式为：输入内容<Tab>响应内容1<Space>响应内容2……	----------
# ----------假装这是注释。不能有重复的行（包括开头），所以注释也不能重复。	----------
# ----------月份星期	----------
一月	Jan. January
二月	Feb. February
三月	Mar. March
四月	Apr. April
五月	May
六月	June
七月	July
八月	Aug. August
九月	Sep. Sept. September
十月	Oct. October
十一月	Nov. November
十二月	Dec. December
一月份	Jan. January
二月份	Feb. February
三月份	Mar. March
四月份	Apr. April
五月份	May
六月份	June
七月份	July
八月份	Aug. August
九月份	Sep. Sept. September
十月份	Oct. October
十一月份	Nov. November
十二月份	Dec. December
周一	Mon. Monday
周二	Tue. Tuesday
周三	Wed. Wednesday
周四	Thu. Thurs. Thursday
周五	Fri. Friday
周六	Sat. Saturday
周日	Sun. Sunday
礼拜一	Mon. Monday
礼拜二	Tue. Tuesday
礼拜三	Wed. Wednesday
礼拜四	Thu. Thurs. Thursday
礼拜五	Fri. Friday
礼拜六	Sat. Saturday
礼拜日	Sun. Sunday
星期一	Mon. Monday
星期二	Tue. Tuesday
星期三	Wed. Wednesday
星期四	Thu. Thurs. Thursday
星期五	Fri. Friday
星期六	Sat. Saturday
星期日	Sun. Sunday
# ----------生活大爆炸&老友记	----------
谢耳朵	Sheldon
谢尔顿	Sheldon
Sheldon	谢尔顿 谢耳朵
莱纳德	Leonard
Leonard	莱纳德
佩妮	Penny
Penny	佩妮
伯纳黛特	Bernadette
Bernadette	伯纳黛特
艾米	Amy
Amy	艾米
霍华德	Howard
Howard	霍华德
拉杰什	Rajesh
Rajesh	拉杰什
瑞秋	Rachel
Rachel	瑞秋
莫妮卡	Monica
Monica	莫妮卡
乔伊	Joey
Joey	乔伊
罗斯	Ross
Ross	罗斯
钱德勒	Chandler
Chandler	钱德勒
菲比	Phoebe
Phoebe	菲比
# ----------键盘符号	----------
cmd	Command ⌘
command	⌘
Ctrl	Control ⌃
control	⌃
Opt	Option ⌥
option	⌥
shift	⇧
tab	⇥ 	aps	CapsLock ⇪
CapsLock	⇪
return	⏎
enter	⏎
space	␣
backspace	⌫
Del	Delete ⌫
delete	⌫
Esc	Escape ⎋
eject	⏏
# ----------emoji集合	----------
V动物	🐶 🐮 🐵 🙈 🙉 🙊 🐒 🐔 🐴 🐷 🐽 🐭 🦐 🦀 🐢 🐱 🐹 🐰 🐻 🐼 🐨 🐧 🐦 🐤 🐣 🐥 🐯 🦁 🐸 🐙 🦆 🦅 🦉 🦇 🐺 🐗 🦄 🐝 🐛 🦋 🐌 🐞 🐜 🕷 🦂 🐍 🦎 🦑 🐠 🐟 🐡 🐬 🐳 🐊 🐆 🐅 🐃 🐂 🐄 🐪 🐫 🐘 🦏 🦍 🐐 🐏 🐑 🐎 🐖 🐀 🐁 🐓 🦃 🕊 🐕 🐩 🐈 🐇 🐿 🦆 🦅 🦉 🦇 🐺 🐗 🦄 🐴 🐝 🐛 🐞 🪲 🦟 🐚 🐌 🦋 🐜 🕷️ 🐢 🐍 🦎 🦂 🦀 🦑 🐙 🦐 🦞 🦪 🐠 🐟 🐡 🪼 🐬 🦈 🐋 🐊 🐆 🐅 🐃 🐂 🐄 🦬 🦌 🐪 🐫 🐘 🦏 🦍 🦧 🦣 🐎 🐖 🐐 🐏 🐑 🐕 🐩 🐈 🐈‍⬛️ 🐇 🐁 🐀 🐿️ 🐉 🐒 🦙 🦛 🫏 🫎 🦖 🦕 🦡 🦝 🦨 🦫 🦦 🦭 🦥 🐓 🦃 🕊️ 🦩 🪿 🦢 🦜 🦤 🦚 🐦‍⬛
V国旗	🏳️ 🏴 🏴‍☠️ 🏁 🚩 🏳️‍🌈 🏳️‍⚧️ 🇺🇳 🇦🇺 🇨🇦 🇨🇳 🇩🇪 🇭🇰 🇯🇵 🇳🇿 🇹🇼 🇺🇸
V手势	👌 👍 👎 👊 🤝 ✌️ 💪 🙏 ✊ 👏 👋 🤞 ✋ 🤚 🖖 🤙 🖕 🤟 ☝️ 👆 👇 👈 👉 🤛 🤜 🤲 🤘 🙌 👐 ✍️ 💅
